scenario_group,Location,baseline_supply_lb,final_supply_lb,delta_supply_lb,pct_supply_change,baseline_surplus_lb,final_surplus_lb,delta_surplus_lb,baseline_supply_ratio,final_supply_ratio,delta_supply_ratio,baseline_fishers_req,final_fishers_req,delta_fishers_req
No Intervention,Caye Caulker,3757.814497075809,3139.952482084888,-617.8620149909211,-16.442057357320813,-1195960.9503838767,-1196578.8123988674,-617.8620149907656,0.003132246162248446,0.002617240451679077,-5.150057105693692e-4,4150.376224156054,4967.06368406461,816.6874599085559
No Intervention,Placencia,11540.464413522823,9647.628522166013,-1892.83589135681,-16.401730671590936,-611653.7776499692,-613546.613541326,-1892.8358913568081,0.018518246213749614,0.015480933344668317,-0.003037312869081297,486.0071464714401,581.3602965417864,95.35315007034632
With Restoration,Caye Caulker,3757.814497075809,5246.278227000515,1488.4637299247056,39.60982456912049,-1195960.9503838767,-1194472.486653952,1488.4637299247552,0.003132246162248446,0.004372923372188065,0.001240677209939619,4150.376224156054,2972.8396529151237,-1177.5365712409307
With Restoration,Placencia,11540.464413522823,13074.115534228726,1533.651120705903,13.289336249837655,-611653.7776499692,-610120.1265292633,1533.6511207058793,0.018518246213749614,0.02097919822066763,0.002460952006918017,486.0071464714401,428.9963756161883,-57.01077085525179
